Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,388.1,2020-12-30,384.7,389.77,381.57,379.04,376.5,372.9,Target 1 Reached
2021-01-14,454.35,2021-01-14,450.59,466.14,440.97,433.2,425.43,414.36,Awaiting Targets
2021-01-20,947.7,2021-01-19,942.55,956.47,933.93,926.97,920.01,910.1,Target 1 Reached
2021-01-21,445.8,2021-01-21,448.29,440.09,454.72,459.24,464.37,469.35,Awaiting Targets
2021-01-27,446.45,2021-01-27,444.11,448.43,441.44,439.28,437.12,434.05,Awaiting Targets
2021-02-03,433.5,2021-02-03,433.46,423.5,441.28,446.78,453.01,459.06,Awaiting Targets
2021-01-01,2542.7,2020-12-23,2446.16,2428.71,2459.86,2469.48,2480.41,2491.01,Final Target Reached
2021-01-20,947.7,2021-01-19,942.55,956.47,933.93,926.97,920.01,910.1,Target 1 Reached
2021-01-21,2926.6,2021-01-21,2918.17,2846.69,2974.28,3013.69,3058.45,3101.87,Awaiting Targets
2021-01-25,2869.55,2021-01-22,2952.4,2968.33,2942.54,2934.57,2926.61,2915.27,Final Target Reached
2021-02-02,2904.85,2021-02-02,2892.7,2820.27,2949.56,2989.5,3034.85,3078.85,Awaiting Targets
2021-01-01,2775.55,2020-12-15,2525.88,2537.52,2518.68,2512.87,2507.05,2498.76,Final Target Reached
2021-01-19,2645.05,2021-01-19,2631.66,2563.6,2685.1,2722.62,2765.24,2806.59,Awaiting Targets
2021-01-25,2513.95,2021-01-25,2564.83,2618.39,2531.7,2504.92,2478.13,2440.01,Awaiting Targets
2021-02-02,2463.65,2021-02-02,2467.19,2400.96,2519.18,2555.7,2597.17,2637.4,Awaiting Targets
2021-01-01,93.2,2021-01-01,93.6,94.44,93.08,92.66,92.25,91.65,Awaiting Targets
2021-01-15,101.4,2021-01-13,105.55,107.95,104.07,102.88,101.68,99.97,Target 3 Reached
2021-01-29,88.3,2021-01-29,89.94,85.85,93.15,95.4,97.96,100.44,Awaiting Targets
2021-01-01,3849.05,2020-12-22,3680.22,3754.61,3634.2,3597.01,3559.82,3506.86,Stop Loss has occured
2021-01-05,3842.1,2021-01-01,3843.45,3875.79,3823.44,3807.27,3791.1,3768.08,Target 2 Reached
2021-01-20,947.7,2021-01-19,942.55,956.47,933.93,926.97,920.01,910.1,Target 1 Reached
2021-01-21,3604.6,2021-01-20,3624.72,3546.83,3685.86,3728.8,3777.57,3824.89,Awaiting Targets
2021-01-28,3429.75,2021-01-28,3449.12,3495.42,3420.47,3397.32,3374.17,3341.21,Awaiting Targets
2021-02-02,3548.6,2021-02-02,3525.6,3473.28,3566.67,3595.52,3628.29,3660.07,Awaiting Targets
2021-01-01,2568.75,2020-12-22,2404.76,2451.97,2375.55,2351.95,2328.34,2294.73,Stop Loss has occured
2021-01-08,2657.5,2021-01-07,2672.02,2690.55,2660.56,2651.3,2642.03,2628.85,Target 3 Reached
2021-01-13,2670.9,2021-01-13,2714.9,2733.07,2703.66,2694.58,2685.49,2672.56,Awaiting Targets
